File,Page,Text,Notes,Images
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,11,"11
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Problem
The Encounter Processing System (EPS) for the South Carolina 
Department of Health and Human Services (SCDHHS) 
was outdated and inadequate. It failed to meet critical business, 
technical, and functional needs. The SCDHHS EPS utilized a 
mainframe as its runtime environment, which proved to be an 
inflexible, expensive solution that was unable to scale.
Our Approach
Amida deployed a Minimum Testable Product (MTP), which was an 
enhanced and modernized iteration of the Virginia EPS application 
architecture, technology stack, and code base. The EPS MTP 
includes critical components such as encounter ingestion, storage, 
validation, and processing, as well as ancillary features such as 
reporting and distribution. In close collaboration with SCDHHS, we 
implemented the solution on the AWS cloud, which allowed us to 
maximize flexibility, scalability, and cost-effectiveness while 
adhering to industry standards and best practices.
Impact
A majority (65 percent) of all South Carolina Medicaid Program 
beneficiaries are enrolled in managed care plans, which account 
for more than $3 billion in costs annually. The new EPS can handle 
a full month’s Medicaid encounter volume – more than a million 
encounters – in just one day. In the future, the new EPS will 
improve data quality for rate setting by 95 percent.
Encounter Processing System for South Carolina DHHS
State, 2023–2024
Depiction of the encounter transaction validation flow 
through the various components of the EPS.
Trading 
partner 
submits EDI 
files to 
Managed File 
Transfer 
(MFT)
MFT sends 
files to the  
Electronic 
Data 
Interchange 
(EDI) process 
Preprocessor 
validates and  
sends files 
to the 
compliance 
checker
Compliance 
checker
Business 
rules engine
Data Management Solutions >
",,"['amida sled overview -feb 24 2025 p11 1.png', 'amida sled overview -feb 24 2025 p11 2.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,12,"12
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
This diagram depicts the FHIR-to-OMOP translation 
process workflow. Data from A (source: Athenahealth) 
will be retrieved in FHIR/FHIR-compliant format via SFTP 
from B (Amida's mapping service) and then transported to 
C (destination: WVCTSI-controlled OMOP database).
Problem
WVCTSI received a five-year National Institutes of Health (NIH) grant to increase 
the participation of underserved populations (e.g., minority and low-income groups) in 
clinical trials through partnerships with local clinics. The institute employs skilled clinicians 
and researchers but lacks the technical resources required to establish bidirectional 
connections with partner clinics, which is necessary to access, map, and translate patient 
health data to the Observational Medical Outcomes Partnership (OMOP) model. This model 
enables seamless data sharing and utilization for research purposes.
Our Approach
WVCTSI selected Amida to provide mapping, translation, and data-loading services. We are 
working with WVCTSI and two partner clinic sites – the New River Health Association and 
Cabin Creek Health System, which serve a population of approximately 36,000 patients – to 
retrieve health data from Athenahealth, their current data source, via bulk FHIR file transfer. 
The retrieved data is specific to ZIP code, Body Mass Index (BMI), and Hemoglobin-A1C 
levels for patients over five years of age. Amida translates the FHIR-based Athenahealth 
records to the WVCTSI OMOP format.
Impact
Amida's approach to the retrieval, mapping, and translation of FHIR data to OMOP 
standards improves data interoperability and collaboration among researchers and clinicians, 
which enables informed data analysis and business decision-making.
Our translation service streamlines data-format conversion, minimizing time, effort, and 
costs while preventing data loss and errors caused by manual interventions. The 
standardization of institutional data for seamless collaboration between clinical and research 
teams will improve patient outcomes.
West Virginia Clinical and Translational Science Institute (WVCTSI)
State and Local, 2024–Present
Insert 
Graphic Here 
and Remove 
Box
Data Management Solutions >
",,"['amida sled overview -feb 24 2025 p12 1.png', 'amida sled overview -feb 24 2025 p12 2.png', 'amida sled overview -feb 24 2025 p12 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,13,"13
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Diagram of the BIDP conceptual architecture.
Problem
Health data for citizens of North Carolina is distributed across 
fourteen governmental divisions. During the COVID-19 pandemic, 
the state built a consolidation platform that enables policymakers 
and public health officials to monitor outbreaks and deploy 
resources. The North Carolina Department of Health and Human 
Services (NCDHHS) asked Amida to help fortify the platform and 
extend its data ingestion capabilities.
Our Approach
Amida developed use cases, identified the technology stack, and 
implemented a fully functional proof-of-concept. We conducted a 
systematic technical review and recommended a new data flow 
architecture. We implemented that pipeline with:
•
A renovated flow architecture, including source identification, 
ingestion and staging, model reconciliation, and transformation
•
Data governance capabilities and tools (e.g., metadata 
management and a data catalog)
•
The ability to onboard additional data sources and support 
future use cases 
•
High Availability and Disaster Recovery (HA/DR)
Impact
We developed a fully functional and production-ready proof-of-
concept that includes a catalog, dictionary, and scalable 
governance framework.
Business Intelligence Data Platform (BIDP)
Data Management Solutions >
State and Local, 2021
Insert Graphic 
Here and 
Remove Box
",,"['amida sled overview -feb 24 2025 p13 1.png', 'amida sled overview -feb 24 2025 p13 2.jpeg', 'amida sled overview -feb 24 2025 p13 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,14,"14
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
The SPPG is a plugin for the i2b2 platform. Any user 
of the i2b2 platform (or member of the ACT network) 
can install the plugin and generate synthetic data.
Problem
Researchers and educators use clinical data in many scenarios beyond 
direct patient care, such as population health analytics and training. 
When patient data is transmitted and stored for use in the systems 
that support these activities, the risk of HIPAA violations due to 
improper use or disclosure increases. To minimize the risk of patient 
confidentiality breaches, organizations should avoid the use of real 
patient data whenever possible.
Our Approach
Amida’s Synthetic Patient Profile Generator creates artificial patient 
data that is statistically similar enough to real data for use in non-care 
systems, but that is not attributable to real patients. The tool is 
integrated into the University of Pittsburgh’s informatics platform, 
i2b2. It analyzes a sample cohort of real patients, statistically profiles 
the demographics, diagnoses, and care plans of those patients, and 
generates a similar cohort of synthetic patients. Synthetic patient data 
is free of security concerns and can be widely distributed, but it is also 
realistic enough for use in analytics and training.
Impact
By providing wider access to statistically valid data sets that do not 
require elaborate HIPAA protections or consent tracking, synthetic 
patient data will become an indispensable tool for clinical training. 
University of Pittsburgh Synthetic Patient Profile Generator (SPPG)
Commercial, 2022–2023
Insert Graphic 
Here and 
Remove Box
Data Management Solutions >
",,"['amida sled overview -feb 24 2025 p14 1.png', 'amida sled overview -feb 24 2025 p14 2.png', 'amida sled overview -feb 24 2025 p14 3.png', 'amida sled overview -feb 24 2025 p14 4.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,15,"15
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Problem
Availity needed a more efficient way to query existing patient records for 
specific health conditions or cases. It was a cumbersome and slow 
process to find records and determine patients who matched important 
criteria.
Our Approach
Amida helped Availity and HCSC to retrieve, parse, store, and expose C-
CDA clinical data via an API. We worked with individual C-CDAs to:
•
Design an easy-to-use web application to search the C-CDAs with a 
predefined list of data elements; these C-CDAs are tailored for 
specific customer needs, such as Healthcare Effectiveness Data and 
Information Set (HEDIS) measurements and risk adjustment
•
Build microservices that can parse a stream of C-CDAs from one or 
more sources of clinical data, and index and store them for 
subsequent retrieval by a web application
•
Develop an API to expose clinical data to the HCSC Medical 
Economics team’s third-party applications
Impact
Rapid access to health information (such as population-health and clinical 
data needed to generate HEDIS scores) supports patient risk 
management, enhances care, lowers costs, and improves health 
outcomes.
Clinical Data for HEDIS Score Improvement
Data Management Solutions >
Commercial, 2020
Amida built an easy-to-use prototype search engine 
that queries clinical data to analyze trends, anticipate 
risks, and intervene in care plans as needed.
",,"['amida sled overview -feb 24 2025 p15 1.png', 'amida sled overview -feb 24 2025 p15 2.png', 'amida sled overview -feb 24 2025 p15 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,16,"16
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Problem
The Blue Cross Blue Shield Association (BCBSA) / Triple-S Salud 
had to make rapid technical and organizational changes to comply 
with various transparency requirements under the Consolidated 
Appropriations Act (CAA).
Our Approach
•
Created a data extraction and transfer tool that provides 
source data as part of an interoperable Provider Network Data 
Exchange (PNDE); we mapped source data, created an 
Informatica-based Extract, Transform, Load (ETL) process to 
generate files, and furnished tools to automate file generation 
in advance of the potential development of an API
•
Reviewed policies and procedures for compliance with data 
interoperability standards, identified gaps, and offered 
recommendations for improvement
•
Developed training materials for Triple-S providers and staff on 
the value and benefits of the use of FHIR
•
Provided required data to CMS that satisfied the CAA 
transparency requirements 
Impact
This work has prepared BCBSA for CAA compliance through the 
development of an upgraded PNDE, the identification of policy 
gaps, and the creation of important change-management materials.
Data Interoperability
Data Management Solutions >
Commercial, 2021–2022
Diagram of the Triple-S data mapping pipeline 
for historical claims and allowed amounts.
Retrieval via 
ETL tool or 
direct query
Transformation 
of mapped data 
to prescribed 
format
Transfer 
to BCBSA
Data mapping
Automated file 
submission tool
(Other data 
sources)
ETL tool
Directory 
source data
= Amida work
{JSON} 
transformation
",,"['amida sled overview -feb 24 2025 p16 1.png', 'amida sled overview -feb 24 2025 p16 2.jpeg', 'amida sled overview -feb 24 2025 p16 3.png', 'amida sled overview -feb 24 2025 p16 4.jpeg', 'amida sled overview -feb 24 2025 p16 5.png', 'amida sled overview -feb 24 2025 p16 6.jpeg', 'amida sled overview -feb 24 2025 p16 7.png', 'amida sled overview -feb 24 2025 p16 8.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,17,"17
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Problem
Health First had an aging data warehouse infrastructure and a technology stack 
that was costly, inflexible, and unable to scale for emerging business needs.
Our Approach
Amida helped Health First design and implement a comprehensive data 
management framework. We:
•
Led program management, enterprise architecture design, and security 
framework enhancement to meet the need for a single, trusted source 
of truth
•
Operationalized data governance, implemented a data catalog and data 
dictionary, and established formalized business rules
•
Spearheaded the migration of Health First’s infrastructure to 
the cloud with Microsoft Azure Data Lake Storage Gen2 and 
Azure Synapse
•
Enabled rapid prototyping and increased speed-to-market using Data Vault 
2.0 methodologies in conjunction with WhereScape automation efficiencies
•
Directed project teams in the transformation of raw data into business-
ready visualizations; areas included Provider, Member, Claims, Finance, 
Case Management, HR, and Business Support
Impact
Health First’s cloud migration significantly decreased infrastructure and 
administrative costs and accelerated new technology integrations.
Enterprise Data Platform (EDP)
Data Management Solutions >
Commercial, 2019–2021
Diagram of the EDP conceptual architecture.
",,"['amida sled overview -feb 24 2025 p17 1.png', 'amida sled overview -feb 24 2025 p17 2.jpeg', 'amida sled overview -feb 24 2025 p17 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,18,"18
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
A representation of Amida’s proof-of-concept 
use of Natural Language Processing (NLP) to help 
state tax agencies improve audit compliance.
Problem
State tax agencies need better IT systems to more successfully expose non-
compliance, minimize zero-dollar assessments (false positives), and prioritize 
audit leads based on the probability of successful recoupment.
Our Approach
Amida is helping the SAS Institute build custom tax collection applications for 
their statistical software suite. We are developing a proof-of-concept that 
focuses on business and sales tax collection. Our work involves: 
•
An analytical approach (that uses tax-type scenarios) and an areas-of-
intrigue approach (that employs custom-built algorithms based on the 
business sector)
•
Entity resolution to identify anomalies in complex data sources that indicate 
likely tax avoidance, such as a business with purchases but no sales
•
Trend analysis based on prior filings, and models that rapidly project the 
cost of audits (typically in a matter of hours)
•
Scalable in-memory analytical processing, integrated data mining, and 
modern Machine Learning (ML) algorithms for the development and 
continual improvement of audit and compliance models 
Impact
State agencies can achieve increased rates of audit compliance and recoupment.
Revenue Optimization
Commercial, 2020–Present
Data Management Solutions >
Enterprise 
Entity 
Resolution
Policy 
Compliance and 
Text Analytics
Business Profile 
Analysis and 
Automated 
Business Rules
Ownership 
Network 
Analysis
Subject Matter 
Expertise 
of Sector-
Specific Data
Predictive 
Analytics and 
Anomaly 
Detection
Natural Language 
Processing
Smart 
Audits
Customer 
Leads
",,"['amida sled overview -feb 24 2025 p18 1.png', 'amida sled overview -feb 24 2025 p18 2.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,19,"19
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Amida developed an application for CNSI to access the 
longitudinal medical and claims data of “dual-eligible” 
Medicare/Medicaid beneficiaries. The application:
•
Presents disparate health data in one interface using 
FHIR R4 for data exchange and SMART on FHIR for 
authentication and authorization
•
Was developed and deployed on a SMART-on-FHIR 
solution using the Amazon Web Services (AWS) cloud 
(Cognito, API gateway) and the open-source HAPI 
FHIR library
•
Retrieves and conforms data from disparate sources, 
including Medicare (using CMS Blue Button 2.0 API), 
state Medicaid (CNSI repository), and longitudinal 
health data (CNSI vendor repository)
CMS FHIR-Based Data Access
Data Management Solutions >
Commercial, 2020–2021
A FHIR-based application enables CNSI to retrieve and standardize 
Medicare and Medicaid claims data for dual-eligible beneficiaries, 
ensuring interoperability across systems.
",,"['amida sled overview -feb 24 2025 p19 1.png', 'amida sled overview -feb 24 2025 p19 2.png', 'amida sled overview -feb 24 2025 p19 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,20,"20
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Amida developed a FHIR server to meet the requirements of the 
CMS Patient Access API rule. We:
•
Completed a requirements traceability matrix to prevent 
gaps between the CNSI solution and the CMS rule guidelines
•
Implemented the CARIN Implementation Guide (IG) for Blue 
Button (C4BB) to enable patient access, including support 
for ExplanationOfBenefit, Inpatient, Outpatient, Pharmacy, 
and Professional claims types
•
Implemented the SMART on FHIR IG in AWS Cognito (note 
that Cognito does not fully support this IG)
CMS Patient Access API
Data Management Solutions >
Commercial, 2020–2021
A FHIR server implementation for the CMS Patient Access 
API enables patients to securely access their claims and 
clinical data using CARIN Blue Button and SMART on FHIR.
",,"['amida sled overview -feb 24 2025 p20 1.png', 'amida sled overview -feb 24 2025 p20 2.jpeg', 'amida sled overview -feb 24 2025 p20 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,21,"21
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Amida developed an application for CNSI that makes Provider 
Directory information publicly accessible via a FHIR-based 
Provider Directory API.
•
The FHIR API does not store data locally; rather, it accepts 
FHIR requests, translates them, and forwards (non-FHIR) 
requests to the CNSI FUZE Resource Adapter
•
We followed the CARIN Alliance recommendation to 
implement the Provider Directory with the DaVinci Payer 
Data Exchange (PDEX) Payer Network (Plan Net) IG
•
The Provider Directory API – together with the longitudinal 
medical and claims data API – enables CNSI to assert 
conformance with CMS’ Interoperability and Patient 
Access Final Rule
•
We used the HL7 FHIR Validator and AEGIS Touchstone 
for conformance testing
CMS Provider Directory Data
Data Management Solutions >
Commercial, 2020–2021
A FHIR-based Provider Directory API enables CNSI to provide real-time 
access to provider data while ensuring CMS interoperability compliance.
",,"['amida sled overview -feb 24 2025 p21 1.png', 'amida sled overview -feb 24 2025 p21 2.png', 'amida sled overview -feb 24 2025 p21 3.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,22,"22
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Amida developed a proof-of-concept to demonstrate the use and 
utility of the Centers for Medicare & Medicaid Services (CMS) Blue 
Button Direct Primary Care (DPC) pilot.
Highlights include:
•
A prototype that shows CMS claims data in UPMC’s patient viewer
•
Analysis of and feedback on the hcOS API structure and 
authentication mechanisms
•
Evaluation of Software as a Service (SaaS) Optical Character 
Recognition (OCR) vendors, so that UPMC may extend hcOS to 
provide additional features
Blue Button and API Support
Data Management Solutions >
Commercial, 2019
The hcOS Patient Viewer integrates UPMC 
and Blue Button data using RESTful APIs.
",,"['amida sled overview -feb 24 2025 p22 1.png', 'amida sled overview -feb 24 2025 p22 2.png', 'amida sled overview -feb 24 2025 p22 3.png', 'amida sled overview -feb 24 2025 p22 4.png']"
C:\Users\Shreya B\Documents\Projects\amida sled overview -feb 24 2025.pdf,23,"23
CONFIDENTIAL AND PROPRIETARY INFORMATION: DO NOT DISTRIBUTE
Using open-source tools, Amida created a solution to convert UPMC 
data from C-CDA format to FHIR, for use by the hcOS API.
Highlights include:
•
Development of a C-CDA to FHIR-STU3 translation library for a 
set of core FHIR resource types
•
Extension of the library to support XDS data envelopes and 
template-driven parsing
•
Processing of de-identified sample data from Epic and Cerner 
systems through the library
C-CDA to FHIR
Data Management Solutions >
Commercial, 2018–2019
The C-CDA to FHIR library translates data from 
XML-based text files into FHIR-compliant JSON.
",,"['amida sled overview -feb 24 2025 p23 1.png', 'amida sled overview -feb 24 2025 p23 2.jpeg', 'amida sled overview -feb 24 2025 p23 3.png', 'amida sled overview -feb 24 2025 p23 4.png']"
